PoS Code,Bill Date,Bill No,Unique Bill or Not,"Bill Date: Month (Mon ""Q""Q-RR)",Source Site,Customer Name,Customer Mobile,Salesperson No,Salesperson,Promo No,Promo Name,Category,Subcategory,Item code,Unique Item or Not,Style Code,QTY,AMOUNT,Unit Price,City,State,Zone,Lat,Long,PoS Start Date,PoS Area (in sq ft),PoS target,Salesperson Target
QRIL001,13-01-2017,SL/1681/17,0,Jan Q1-17,Infiniti Mall Malad,HO HO,1234568877,96,Flat 50% off,001-00004,Flat 50 % off,Sunglasses,Fashion,MCV2814,1,801,4,3000,750,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,5828433
QRIL001,13-01-2017,SL/1681/17,0,Jan Q1-17,Infiniti Mall Malad,HO HO,1234568877,96,Flat 50% off,001-00004,Flat 50 % off,Sunglasses,Fashion,MCV2915,1,5512,4,3000,750,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,5828433
QRIL001,13-01-2017,SL/1681/17,0,Jan Q1-17,Infiniti Mall Malad,HO HO,1234568877,96,Flat 50% off,001-00004,Flat 50 % off,Sunglasses,Fashion,MCV2998,1,4559,4,3000,750,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,5828433
QRIL001,13-01-2017,SL/1681/17,0,Jan Q1-17,Infiniti Mall Malad,HO HO,1234568877,96,Flat 50% off,001-00004,Flat 50 % off,Sunglasses,Polarized,MCV2901,1,2619P,5,5500,1100,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,5828433
QRIL001,13-01-2017,SL/1681/17,0,Jan Q1-17,Infiniti Mall Malad,HO HO,1234568877,96,Flat 50% off,001-00004,Flat 50 % off,Sunglasses,Polarized,MCV1304,1,7802P,4,4400,1100,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,5828433
QRIL001,13-01-2017,SL/1681/17,0,Jan Q1-17,Infiniti Mall Malad,HO HO,1234568877,96,Flat 50% off,001-00004,Flat 50 % off,Sunglasses,Polarized,MCV2092,1,27218P,4,4400,1100,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,5828433
QRIL001,26-01-2017,SL/1790/17,1,Jan Q1-17,Infiniti Mall Malad,HO HO,1234568,97,Bye 1 get 1,001-00002,Free Case and Carry Bags,Accessories,Sunglasses Case,MCV1463,1,Zipper Case,6,0,0,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,3676163
QRIL001,26-01-2017,SL/1790/17,0,Jan Q1-17,Infiniti Mall Malad,HO HO,1234568,97,Bye 1 get 1,001-00002,Free Case and Carry Bags,Accessories,Packing Material,MCV1461,1,Carry Bag,4,0,0,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,3676163
QRIL001,26-01-2017,SL/1791/17,1,Jan Q1-17,Infiniti Mall Malad,HO HO,1234567890,97,Bye 1 get 1,001-00002,Free Case and Carry Bags,Accessories,Packing Material,MCV1461,1,Carry Bag,4,0,0,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,3676163
QRIL001,26-01-2017,SL/1791/17,0,Jan Q1-17,Infiniti Mall Malad,HO HO,1234567890,97,Bye 1 get 1,001-00002,Free Case and Carry Bags,Accessories,Sunglasses Case,MCV1463,1,Zipper Case,4,0,0,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,3676163
QRIL001,26-01-2017,SL/1794/17,1,Jan Q1-17,Infiniti Mall Malad,HO HO,1234567890,97,Bye 1 get 1,001-00002,Free Case and Carry Bags,Accessories,Packing Material,MCV1461,1,Carry Bag,4,0,0,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,3676163
QRIL001,26-01-2017,SL/1794/17,0,Jan Q1-17,Infiniti Mall Malad,HO HO,1234567890,97,Bye 1 get 1,001-00002,Free Case and Carry Bags,Accessories,Sunglasses Case,MCV1463,1,Zipper Case,4,0,0,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,3676163
QRIL001,26-01-2017,SL/1808/17,1,Jan Q1-17,Infiniti Mall Malad,HO HO,123456789,97,Bye 1 get 1,001-00002,Free Case and Carry Bags,Accessories,Packing Material,MCV1461,1,Carry Bag,4,0,0,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,3676163
QRIL001,26-01-2017,SL/1808/17,0,Jan Q1-17,Infiniti Mall Malad,HO HO,123456789,97,Bye 1 get 1,001-00002,Free Case and Carry Bags,Accessories,Sunglasses Case,MCV1460,1,Foldable Case,4,0,0,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,3676163
QRIL001,22-05-2017,SL/0495/17,0,May Q2-17,Infiniti Mall Malad,HO HO,9858645785,98,Management,001-00002,Free Case and Carry Bags,Accessories,Sunglasses Case,MCV1463,1,Zipper Case,8,0,0,Mumbai,Maharashtra,West,19.184874,72.834128,21-12-2013,100,7414236,281089
QRILQRIL029,24-06-2017,SL/0317/17,1,Jun Q2-17,Inorbit Mall Malad,HO HO,123456789,50,Kiran Gohil,001-00002,Free Case and Carry Bags,Accessories,Packing Material,MCV1461,1,Carry Bag,5,0,0,Mumbai,Maharashtra,West,19.172957,72.834966,29-07-2012,65,3702628,483226
QRILQRIL029,24-06-2017,SL/0317/17,0,Jun Q2-17,Inorbit Mall Malad,HO HO,123456789,50,Kiran Gohil,001-00002,Free Case and Carry Bags,Accessories,Sunglasses Case,MCV1463,1,Zipper Case,5,0,0,Mumbai,Maharashtra,West,19.172957,72.834966,29-07-2012,65,3702628,483226
QRILQRIL029,24-06-2017,SL/0317/17,0,Jun Q2-17,Inorbit Mall Malad,HO HO,123456789,96,Flat 50% off,001-00002,Free Case and Carry Bags,Accessories,Packing Material,MCV1461,1,Carry Bag,5,0,0,Mumbai,Maharashtra,West,19.172957,72.834966,29-07-2012,65,3702628,5828433
QRILQRIL029,24-06-2017,SL/0317/17,0,Jun Q2-17,Inorbit Mall Malad,HO HO,123456789,96,Flat 50% off,001-00002,Free Case and Carry Bags,Accessories,Sunglasses Case,MCV1463,1,Zipper Case,5,0,0,Mumbai,Maharashtra,West,19.172957,72.834966,29-07-2012,65,3702628,5828433
QRILQRIL029,24-06-2017,SL/0333/17,1,Jun Q2-17,Inorbit Mall Malad,HO HO,123456789,50,Kiran Gohil,001-00002,Free Case and Carry Bags,Accessories,Packing Material,MCV1461,1,Carry Bag,4,0,0,Mumbai,Maharashtra,West,19.172957,72.834966,29-07-2012,65,3702628,483226
QRILQRIL029,24-06-2017,SL/0333/17,0,Jun Q2-17,Inorbit Mall Malad,HO HO,123456789,50,Kiran Gohil,001-00002,Free Case and Carry Bags,Accessories,Sunglasses Case,MCV1463,1,Zipper Case,4,0,0,Mumbai,Maharashtra,West,19.172957,72.834966,29-07-2012,65,3702628,483226
QRILQRIL029,24-06-2017,SL/0333/17,0,Jun Q2-17,Inorbit Mall Malad,HO HO,123456789,96,Flat 50% off,001-00002,Free Case and Carry Bags,Accessories,Packing Material,MCV1461,1,Carry Bag,4,0,0,Mumbai,Maharashtra,West,19.172957,72.834966,29-07-2012,65,3702628,5828433
QRILQRIL029,24-06-2017,SL/0333/17,0,Jun Q2-17,Inorbit Mall Malad,HO HO,123456789,96,Flat 50% off,001-00002,Free Case and Carry Bags,Accessories,Sunglasses Case,MCV1463,1,Zipper Case,4,0,0,Mumbai,Maharashtra,West,19.172957,72.834966,29-07-2012,65,3702628,5828433
QRILQRIL029,27-10-2017,SL/0744/17,1,Oct Q4-17,Inorbit Mall Malad,HO HO,123456789,45,Aarti Shukla,001-00002,Free Case and Carry Bags,Accessories,Packing Material,MCV1461,1,Carry Bag,4,0,0,Mumbai,Maharashtra,West,19.172957,72.834966,29-07-2012,65,3702628,582656
QRILQRIL029,27-10-2017,SL/0744/17,0,Oct Q4-17,Inorbit Mall Malad,HO HO,123456789,45,Aarti Shukla,001-00002,Free Case and Carry Bags,Accessories,Sunglasses Case,MCV1463,1,Zipper Case,4,0,0,Mumbai,Maharashtra,West,19.172957,72.834966,29-07-2012,65,3702628,582656
